id,long,lat,facility,type,ownership,status,ward_code,ward_name,lga_code,lga_name
1,8.46761152,9.24985305,Gwantu L'urlo Primary Health Center,Unknown,Unknown,Unknown,KD2005,Gwantu,19020,Sanga
2,7.675305,10.980429,Mangi Primary Health Care,Primary,Public,Functional,KD0412,Zangon Aya,19004,Igabi
3,7.715115,11.065012,Malam Iyal Memorial Primary Health Center Kwarbai,Primary,Public,Functional,KD2306,Kwarbai A,19023,Zaria
4,8.316207,9.657361,Madakiya Primary Health Center,Primary,Public,Functional,KD2205,Madakiya,19022,Zangon Kataf
5,7.37904,10.47819,Henlong Medical Clinic And Maternity,Primary,Public,Unknown,KD0210,Sabon Gari Nassarawa,19002,Chikun
6,8.05258,10.98574,Lafiya Maternity Center Soba,Primary,Public,Unknown,KD2111,Soba,19021,Soba
7,7.403256,10.541596,Hayim Dan Mani Primary Health Center,Primary,Public,Functional,KD0409,Rigasa,19004,Igabi
8,7.738897,10.273054,Rafin Kunu Health Clinic,Primary,Public,Functional,KD1207,Kufana,19012,Kajuru
9,8.317069,9.583645,Unguwan Masara Health Clinic,Primary,Public,Unknown,KD0711,Maigizo,19007,Jema'A
10,8.165162,9.791179,Kamantan Health Center,Primary,Public,Unknown,KD2204,Kamantan,19022,Zangon Kataf
11,7.93972,11.38648,Giwaye Health Clinic,Primary,Public,Functional,KD1803,Gazara,19018,Makarfi
12,8.388134,9.677778,Malagum 2 Primary Health Center,Primary,Public,Functional,KD1308,Malagum,19013,Kaura
13,8.34357,9.609909,Kukum Daji Health Clinic,Primary,Public,Functional,KD1307,Kukum,19013,Kaura
14,7.637084961,10.47827148,Salama Clinic,Primary,State Primary HealthCare Development Agency,Unknown,KD0204,Kujama,19002,Chikun
15,7.255347,10.531325,Mallamawa Health Center,Primary,Public,Functional,KD0409,Rigasa,19004,Igabi
16,8.237857,10.742275,Sauki Maternity,Primary,Public,Unknown,KD1511,Zuntu,19015,Kubau
17,6.545658,10.666228,Badamuwa Nursing Home,Tertiary,Private,Unknown,KD0103,Magajin Gari 1,19001,Birnin Gwari
18,8.678191,10.517151,Maskawa Maternity Clinic,Tertiary,Private,Unknown,KD1702,Dan Alhaji,19017,Lere
19,7.16494,10.63784,Rumana Gwan Health Post,Primary,Public,Unknown,KD0205,Kunai,19002,Chikun
20,7.373124,10.53561,Muazatul Maternity Health Center,Primary,Public,Unknown,KD0409,Rigasa,19004,Igabi
21,8.528821,9.962986,Damakasuwa Primary Health Center,Primary,Public,Functional,KD1403,Damakasuwa,19014,Kauru
22,6.543061156,10.65464138,Birnin Gwari Maternity Clinic Hospital,Others,Private,Unknown,KD0103,Magajin Gari 1,19001,Birnin Gwari
23,7.71242,11.07785,City Himma Hospital,Tertiary,Private,Unknown,KD2307,Kwarbai B,19023,Zaria
24,8.55966,9.72318,Maman Yanbiuv Health Clinic,Primary,Public,Unknown,KD1302,Bondong,19013,Kaura
25,8.549563,9.478998,Kurmin Goro Titi Health Clinic,Primary,Public,Functional,KD2006,Karshi,19020,Sanga
26,8.02386,9.576827,Kurmin Musa Primary Health Center,Primary,Public,Functional,KD0810,Kurmin Musa,19008,Kachia
27,8.582148,10.168542,Ecwa Health Clinic Garun Kurama,Primary,NGO/Humanitarian,Unknown,KD1703,Garu Mariri,19017,Lere
28,8.509895,10.290055,Luwuna Health Clinic,Primary,Public,Functional,KD1709,Raminkura,19017,Lere
29,8.52584,10.47322,Kudaru Primary Health Care,Unknown,Unknown,Unknown,KD1706,Kudaru,19017,Lere
30,7.624276,9.635594,Baba Mai Mota Health Post,Primary,Public,Unknown,KD0803,Awon,19008,Kachia
31,8.04784,10.98889,Jama'a Nursing And Mat Soba,Tertiary,Private,Unknown,KD2111,Soba,19021,Soba
32,7.96886,11.275827,Malama Binta Maternity Home Dandamisa,Tertiary,Private,Unknown,KD1808,Meyari,19018,Makarfi
33,7.409741,10.514585,Jni Muslim Hospital,Others,Public,Functional,KD1009,Tudun Wada North,19010,Kaduna South
34,8.29046,9.58546,Jama'a Nursing Home,Tertiary,Private,Unknown,KD0708,Kafanchan B,19007,Jema'A
35,6.990913,11.18057,Kuyello Health Center,Primary,Public,Unknown,KD0110,Kuyello,19001,Birnin Gwari
36,8.345423,9.203615,Unguwan Galadima Health Clinic,Primary,Public,Functional,KD2002,Arak,19020,Sanga
37,7.63348,10.48022,Salvation Health Clinic,Primary,Public,Unknown,KD0204,Kujama,19002,Chikun
38,7.6057,10.84099,Sanhu Primary Health Center,Primary,Public,Unknown,KD0402,Birnin Yero,19004,Igabi
