FID,geom,geometry_type,latitude,longitude,global_id,name,alternate_name,functional_status,ri_service_status,type,ownership,ward_code,accessibility,cce_quantity,cce_availability,cce_last_updated,mnch2,mnch2_last_updated,ward_name,lga_code,lga_name,state_code,state_name
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-607c,POINT (6.636343000284569 10.791455000487872),POINT,10.791455000487872,6.636343000284569,9c4ebbe1-e420-452e-8a33-a73703d95d73,Gayam Health Center,,Functional,Yes,Primary,Public,KD0101,,1,Yes,,,,Gayam,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-607b,POINT (6.71309 10.83862),POINT,10.83862,6.71309,38b06226-fa10-42b0-a877-15be0aa00298,Layin Mai Gwari Health Center,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0101,,,Unknown,,,,Gayam,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-607a,POINT (6.74543 10.72583),POINT,10.72583,6.74543,ca92ead5-8596-4994-a0fa-f296f3efa669,Mando Health Center,,Functional,Yes,Primary,State Primary HealthCare Development Agency,KD0101,,,Unknown,,,,Gayam,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6079,POINT (6.94621 10.74423),POINT,10.74423,6.94621,1c2e83b6-c7c9-4aba-8e1c-3243da790e09,Kuyello,,Unknown,Yes,Others,Others,KD0101,,,Unknown,,,,Gayam,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6078,POINT (7.04175721377079 10.648297040902916),POINT,10.648297040902916,7.04175721377079,ad534918-f452-4f81-b313-61ee4cbcbf36,Health Clinic Labi,,Unknown,Unknown,Primary,Others,KD0101,,,Unknown,,,,Gayam,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6077,POINT (6.73386 10.73392),POINT,10.73392,6.73386,e75b5cd8-e353-4d85-b989-3faed6cc99c8,Gwaska Health Center,,Unknown,Unknown,Primary,State Primary HealthCare Development Agency,KD0101,,,Unknown,,,,Gayam,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6076,POINT (6.642158000235554 10.76905800027015),POINT,10.76905800027015,6.642158000235554,4bbad2db-1bc5-4e28-9842-4abb8b2c5119,Girezin Primary Health Carep,,Functional,Unknown,Primary,Public,KD0101,,,Unknown,,,,Gayam,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6075,POINT (6.688532999745178 10.707223000256192),POINT,10.707223000256192,6.688532999745178,965e847e-a149-4edf-90d3-30c9461959fa,Pole Wire's Health Center,,Unknown,Unknown,Primary,Public,KD0101,,,Unknown,,,,Gayam,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6074,POINT (6.62427 10.70916),POINT,10.70916,6.62427,2ef42b08-3907-4951-8aef-4c34fab09000,Kwaga Health Center,,Functional,Yes,Primary,State Primary HealthCare Development Agency,KD0101,,,Unknown,,,,Gayam,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6073,POINT (6.7452972660000015 10.725047309999999),POINT,10.725047309999999,6.7452972660000015,1938268f-426c-4221-a264-ee7bcfd6b2e0,Health Center Gayam,,Functional,Unknown,Primary,Others,KD0101,,,Unknown,,,,Gayam,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6072,POINT (6.1232579996673735 10.743787000099701),POINT,10.743787000099701,6.1232579996673735,e9b517ff-e63c-4307-9852-5f0904e8aa60,Kakangi Primary Health Care,,Unknown,Unknown,Primary,Public,KD0102,,,Unknown,,,,Kakangi,19001,Birnin Gwari,KD,Kaduna
sv_fc_poi_health_facilities.fid--71209ea8_166ee56fbef_-6071,POINT (6.1805439995905544 10.777356999908932),POINT,10.777356999908932,6.1805439995905544,73c0922c-b6aa-427f-aba9-8614b26ecc6b,Kankangi Model Primary Health Center,,Unknown,Unknown,Primary,Public,KD0102,,,Unknown,,,,Kakangi,19001,Birnin Gwari,KD,Kaduna
