lon,lat,school_name,ward_code,ward_name,lga_code,lga_name
7.72603193,11.13651205,Integrated Children School,KD1904,Dogarawa,19019,Sabon Gari
8.012568355,11.28114581,Universal Basic Education Anguwan Sariki Primary School,KD1805,Gubuchi,19018,Makarfi
8.31232109,9.788480221,Baptist Mission Academy,KD2210,Zonkwa,19022,Zangon Kataf
7.89701879,9.791044594,Universal Basic Education Primary School Ungwan Atiku,KD0802,Ankwa,19008,Kachia
7.99474053,11.43738644,LGEA Angwan Halliru Primary School,KD0508,Rumi,19005,Ikara
7.78161832,10.76374252,Kwan Kwani Primary School,KD0405,Igabi,19004,Igabi
7.395912409,10.43103576,LGEA Primary School Gonin Gora,KD0203,Kakau,19002,Chikun
7.43842005,10.51000102,LGEA Sabon Gari Primary School,KD0904,Kabala,19009,Kaduna North
8.49519862,9.22884641,LGEA Nandu B,KD2007,Nandu,19020,Sanga
7.81010955,9.735524831,Universal Basic Education Akwaya Daji,KD0803,Awon,19008,Kachia
7.61099764,11.19464653,LEA Primary School Hayin Sambo,KD1902,Bomo,19019,Sabon Gari
7.26785116,11.25238599,LGEA Primary School Anguwan Namama,KD0305,Idasu,19003,Giwa
7.786431313,9.576982857,Universal Basic Education Primary School Cikin Gari Kuchi,KD1110,Kushe,19011,Kagarko
8.32410887,9.711612061,LGEA Aduwuan Gida,KD2205,Madakiya,19022,Zangon Kataf
7.696963549,9.515045286,Universal Basic Education Primary School Kago,KD1106,Kagarko South,19011,Kagarko
7.72519398,11.18333848,LEA Primary School Sakadadi,KD1904,Dogarawa,19019,Sabon Gari
6.28685171,10.67155998,L G Ae Chikwarba Primary School,KD0102,Kakangi,19001,Birnin Gwari
8.013818264,9.730775357,Universal Basic Education Boham Primary School,KD0806,Gidan Tagwai,19008,Kachia
7.436955571,10.51746726,2nd Ecwa Nursery and Primary School,KD0904,Kabala,19009,Kaduna North
7.44228749,10.47767749,Christ Mission Academy,KD0207,Narayi,19002,Chikun
8.55295314,10.05172745,Universal Basic Education Primaru School Talon Amawa,KD1703,Garu Mariri,19017,Lere
7.449835,10.47436,Sacret Heart Nur Primary and Secondary School,KD0207,Narayi,19002,Chikun
8.034680486,11.06657445,Universal Basic Education Gidan Kori,KD2110,Turawa,19021,Soba
7.44490125,10.56994738,Demostration Nursry and Primary School,KD0909,Unguwan Dosa,19009,Kaduna North
8.25177082,9.705595761,Universal Basic Education Primary School Hurgyam,KD2205,Madakiya,19022,Zangon Kataf
8.28469,10.095895,Model Kusheka,KD1402,Bital,19014,Kauru
8.281701207,9.371026754,LGEA Dangwa,KD0706,Jagindi,19007,Jema'A
8.052742481,9.600934982,Government Secondary School Antong,KD0810,Kurmin Musa,19008,Kachia
7.387278333,10.49917,Katari Schools,KD1011,Sabon Gari West,19010,Kaduna South
7.917929292,9.322623611,LGEA Primary School Idar,KD0606,Nduya,19006,Jaba
8.16013569,9.433338581,Gdlss Asso,KD0701,Asso,19007,Jema'A
8.31936829,9.767461791,LGEA Madauchi 1,KD2210,Zonkwa,19022,Zangon Kataf
7.47079255,10.62409328,Nti Model Staff Primary School,KD0408,Rigachikun,19004,Igabi
7.924822569,11.33342206,Government Junior Secondary School Gimi,KD1804,Gimi,19018,Makarfi
8.100839853,11.12710118,LEA Makwaron Lemo,KD2110,Turawa,19021,Soba
8.02524995,11.36780093,LGEA Rumi Primary School,KD0508,Rumi,19005,Ikara
7.43821139,10.57218973,Army Children SchoolNew Cantonment B,KD0903,Hayin Banki,19009,Kaduna North
8.28249806,9.575677081,Grace Land Academy Katsit Kanfancha,KD0707,Kafanchan A,19007,Jema'A
7.49570844,10.40038705,LGEA Rido,KD0209,Rido,19002,Chikun
8.28332061,9.597454951,LGEA Primary School Zakwo,KD2201,Gidan Jatau,19022,Zangon Kataf
7.643828988,9.749459625,LGEA Kurmin Ajiya,KD0803,Awon,19008,Kachia
7.405434251,10.59595406,Government Secondary School Sabon Afaka,KD0401,Afaka,19004,Igabi
7.40155751,11.05916047,Government Junior Secondary School Iyatawa,KD0307,Kidandan,19003,Giwa
8.36046043,10.57036095,Universal Basic Education Unguwan Bature,KD1509,Pambegua,19015,Kubau
7.77479042,10.04879469,Universal Basic Education Kampani,KD1208,Maro,19012,Kajuru
8.65503,10.06594,LEA Primary School Balak,KD1703,Garu Mariri,19017,Lere
6.566428542,10.71348846,LEA Primary School Mando,KD0101,Gayam,19001,Birnin Gwari
8.77398,10.30399667,Universal Basic Education Primary School Tashan Dogara,KD1701,Abadawa,19017,Lere
7.46787966,11.25554219,Doctor Shehu Lawal Giwa Staff School,KD0304,Giwa,19003,Giwa
7.46133151,10.45290103,Zerephat Academy,KD0211,Sabon Tasha,19002,Chikun
8.555755,9.974313334,Eccde Preprimary School Rafin Gora,KD1403,Damakasuwa,19014,Kauru
7.931399345,9.552488924,Government Secondary School Junior Kenyi,KD1101,Aribi,19011,Kagarko
7.45422601,10.44504624,Christ Ambassador Nursery Primary and Secondary School,KD0211,Sabon Tasha,19002,Chikun
8.22540279,11.17481877,Wisdom Nursery and Primary School,KD0502,Ikara,19005,Ikara
8.142537475,9.58741665,LGEA Kurmin Zomo,KD0602,Daddu,19006,Jaba
8.644609451,10.27116537,LGEA Primary School Guma,KD1707,Lazuru Tuddai,19017,Lere
8.12625412,11.41221953,LGEA Angwan Ango Mukkaddas Primary School,KD0505,Kuya,19005,Ikara
8.60823623,9.338761731,LGEA Kongon,KD2004,Bokana,19020,Sanga
7.970795631,9.873753191,LGEA Primary School Ugwan Pah Ii,KD0807,Gumel,19008,Kachia
8.635228333,10.519495,Universal Basic Education Primary School Kakum Amawa,KD1705,Kayarda,19017,Lere
8.32795028,9.766170551,Universal Basic Education Madauchi II,KD2210,Zonkwa,19022,Zangon Kataf
7.44289364,10.55652762,LEA Nursery and Primary School Ungwan Kanawa,KD0903,Hayin Banki,19009,Kaduna North
8.104117513,10.83814681,Universal Basic Education Marmara Rahama,KD2108,Rahama,19021,Soba
7.413877845,10.50849259,LGEA Primary Schooll Fulani Road Tudun Wada Kaduna,KD1010,Tudun Wada South,19010,Kaduna South
6.934753333,10.63389833,First Baptist Nursery and Primary School,KD0205,Kunai,19002,Chikun
8.52110166,11.10507747,Universal Basic Education Anguwan Kambu Primary School,KD1504,Haskiya,19015,Kubau
7.7604099,11.02151445,Government Junior Secondary School Aba Zaria,KD2313,Wuciciri,19023,Zaria
8.463254571,9.489344359,Nomadic Primary School,KD0702,Atuku,19007,Jema'A
7.422133684,10.34554303,Universal Basic Education Primary School Ungwan Pah Kakau,KD0203,Kakau,19002,Chikun
7.57361981,10.52544857,Universal Basic Education Lokotuko,KD0204,Kujama,19002,Chikun
7.75924398,10.69895054,Hayingada Primary School,KD0403,Fanshanu,19004,Igabi
6.550233364,10.67071259,Government Secondary Schools Birnin Gwari,KD0103,Magajin Gari 1,19001,Birnin Gwari
8.37103387,9.225207901,Universal Basic Education Gbonkok,KD2002,Arak,19020,Sanga
7.77636067,11.16174612,Unguwan Wakili Nomadic Primary School,KD1911,Zabi,19019,Sabon Gari
8.27291548,10.78346371,LGEA Primary School,KD1511,Zuntu,19015,Kubau
7.72080364,11.03585697,Gidan Kano Universal Basic Education,KD2303,Gyellesu,19023,Zaria
7.73511056,11.07616814,Universal Basic Education Unguwan Kaya,KD2303,Gyellesu,19023,Zaria
7.875657678,9.650877715,Nomadic Rugan Ardo Primary School Unguwan Pah,KD1101,Aribi,19011,Kagarko
7.477574944,11.036641,Nomadic Murai,KD0310,Wazata,19003,Giwa
8.3045526,10.75538812,Universal Basic Education Kagadama Zuntu Primary School,KD1505,Kareh,19015,Kubau
6.216427088,10.55636466,LGEA Primary School,KD0106,Randagi,19001,Birnin Gwari
7.20380407,11.14606784,LGEA Primary School Jigo,KD0305,Idasu,19003,Giwa
8.000058532,9.975264072,Army Children School Nasa,KD0801,Agunu,19008,Kachia
7.44279491,9.52055422,LEA Issah Pago,KD1103,Jere North,19011,Kagarko
8.618513333,9.807068333,LEA Primary School Kizakoro,KD1406,Kamaru,19014,Kauru
7.32059598,9.402306676,Universal Basic Education Prary School Gwaba,KD1102,Iddah,19011,Kagarko
7.688965201,9.854017497,Universal Basic Education Gizago,KD0802,Ankwa,19008,Kachia
8.17376293,10.07495745,Government Junior Secondary School Ungwa Makama,KD2203,Ikulu,19022,Zangon Kataf
8.165524006,9.692269564,LGEA Primary Sch Abet,KD2201,Gidan Jatau,19022,Zangon Kataf
7.5067732,10.57614724,Universal Basic Education Anguwan Tudu Primary School,KD0408,Rigachikun,19004,Igabi
7.952658534,9.708175064,Universal Basic Education Unguwan Waja,KD0811,Kwaturu,19008,Kachia
7.761186361,9.554516673,Government Secondary School Kushe Makaranta,KD1110,Kushe,19011,Kagarko
7.901111841,9.598268868,Government Secondary School Kurumi Dangana,KD1101,Aribi,19011,Kagarko
7.97975421,11.28957331,Universal Basic Education Anguwan Kunda,KD1808,Meyari,19018,Makarfi
8.455025,9.225873021,LGEA Intergreted Quranic School Gwantu,KD2005,Gwantu,19020,Sanga
7.19356061,10.31029158,Universal Basic Education Unguwan Turai,KD0202,Gwagwada,19002,Chikun
7.53653867,11.22185589,Bilal Academy My Baby Nursery and Primary School Maraba Guga,KD0309,Shika,19003,Giwa
7.72330185,11.08650756,Haruna Danja Foundation,KD2310,Tudun Wada,19023,Zaria
7.45408734,10.43888025,Greatway International School,KD0211,Sabon Tasha,19002,Chikun
