geometry_type,latitude,longitude,global_id,name,category,sub_type,management,education,poi_type,number_of_teachers,number_of_students,ward_code,source,ward_name,lga_code,lga_name,state_code,state_name,lon,lat
POINT,11.136512050000022,7.726031930000033,001089a3-626b-44e6-a282-c53f2dba1ddc,Integrated Children School,Primary,Standard,Private,Formal,School,,,KD1904,NMIS,Dogarawa,19019,Sabon Gari,KD,Kaduna,7.726031930000033,11.136512050000022
POINT,11.281145811000044,8.012568355000042,00114656-47d7-460b-b93b-1e2069b2cf14,Universal Basic Education Anguwan Sariki Primary School,Primary,Primary,Public,Formal,School,,,KD1805,NMIS,Gubuchi,19018,Makarfi,KD,Kaduna,8.012568355000042,11.281145811000044
POINT,9.788480221000043,8.312321090000069,0042093b-2452-484a-8fab-ac85a077a096,Baptist Mission Academy,Secondary,Aggregate,Faith Based,Formal,School,,,KD2210,NMIS,Zonkwa,19022,Zangon Kataf,KD,Kaduna,8.312321090000069,9.788480221000043
POINT,9.791044594000027,7.897018790000061,00500548-aa3d-4d87-bcbc-eb7a8400c5c2,Universal Basic Education Primary School Ungwan Atiku,Primary,Primary,Public,Formal,School,,,KD0802,NMIS,Ankwa,19008,Kachia,KD,Kaduna,7.897018790000061,9.791044594000027
POINT,11.437386440000068,7.994740530000058,0051423a-66fa-4313-b3ec-f92a60035801,LGEA Angwan Halliru Primary School,Primary,Primary,Public,Formal,School,,,KD0508,NMIS,Rumi,19005,Ikara,KD,Kaduna,7.994740530000058,11.437386440000068
POINT,10.76374252100004,7.781618320000064,00598bb6-acff-42ea-9cad-8438eded090c,Kwan Kwani Primary School,Primary,Primary,Public,Formal,School,,,KD0405,NMIS,Igabi,19004,Igabi,KD,Kaduna,7.781618320000064,10.76374252100004
POINT,10.431035761000032,7.395912409000061,0071fc1c-69ed-4e8e-8b0b-082b94c78555,LGEA Primary School Gonin Gora,Primary,Standard,Public,Formal,School,,,KD0203,NMIS,Kakau,19002,Chikun,KD,Kaduna,7.395912409000061,10.431035761000032
POINT,10.510001020000061,7.4384200500000475,00b433bb-1d06-4d52-bd96-ac9fa400c977,LGEA Sabon Gari Primary School,Primary,Standard,Public,Formal,School,,,KD0904,NMIS,Kabala,19009,Kaduna North,KD,Kaduna,7.4384200500000475,10.510001020000061
POINT,9.228846410000074,8.495198620000053,00b741eb-2d74-44f8-ae3b-c7bab90dd607,LGEA Nandu B,Primary,Primary,Public,Formal,School,,,KD2007,NMIS,Nandu,19020,Sanga,KD,Kaduna,8.495198620000053,9.228846410000074
POINT,9.73552483100002,7.81010955000005,00c032f2-db85-4ac3-ae09-de6b913798c0,Universal Basic Education Akwaya Daji,Primary,Primary,Public,Formal,School,,,KD0803,NMIS,Awon,19008,Kachia,KD,Kaduna,7.81010955000005,9.73552483100002
POINT,11.194646531000046,7.6109976400000505,00c2559c-5e8f-4505-bd9e-bca943324a8e,LEA Primary School Hayin Sambo,Primary,Primary,Public,Formal,School,,,KD1902,NMIS,Bomo,19019,Sabon Gari,KD,Kaduna,7.6109976400000505,11.194646531000046
POINT,11.25238599100004,7.267851160000021,00c4c759-c3a1-4ec6-a80a-e0bf032fd8ba,LGEA Primary School Anguwan Namama,Primary,Primary,Public,Formal,School,,,KD0305,NMIS,Idasu,19003,Giwa,KD,Kaduna,7.267851160000021,11.25238599100004
POINT,9.576982857000075,7.786431313000037,00c7286a-a1a2-49e1-80bb-7544d88ca889,Universal Basic Education Primary School Cikin Gari Kuchi,Primary,Primary,Public,Formal,School,,,KD1110,NMIS,Kushe,19011,Kagarko,KD,Kaduna,7.786431313000037,9.576982857000075
POINT,9.71161206100004,8.324108870000032,00c8f1e9-de98-461f-b96e-070cc36ace8b,LGEA Aduwuan Gida,Primary,Standard,Public,Formal,School,,,KD2205,NMIS,Madakiya,19022,Zangon Kataf,KD,Kaduna,8.324108870000032,9.71161206100004
POINT,9.515045286000031,7.696963549000031,00cddd3f-7b1d-427c-b061-2156da5cece8,Universal Basic Education Primary School Kago,Primary,Primary,Public,Formal,School,,,KD1106,NMIS,Kagarko South,19011,Kagarko,KD,Kaduna,7.696963549000031,9.515045286000031
POINT,11.183338481000021,7.725193980000029,00ec9d11-8596-43f6-8644-9ad180976a8d,LEA Primary School Sakadadi,Primary,Primary,Public,Formal,School,,,KD1904,NMIS,Dogarawa,19019,Sabon Gari,KD,Kaduna,7.725193980000029,11.183338481000021
POINT,10.67155998100003,6.2868517100000645,00f27779-eb1b-47c0-86b7-72f86c846ca3,L G Ae Chikwarba Primary School,Primary,Primary,Public,Formal,School,,,KD0102,NMIS,Kakangi,19001,Birnin Gwari,KD,Kaduna,6.2868517100000645,10.67155998100003
POINT,9.730775357000027,8.013818264000065,00f36d3c-8755-4aee-af7b-20eeb89ea3b8,Universal Basic Education Boham Primary School,Primary,Primary,Public,Formal,School,,,KD0806,NMIS,Gidan Tagwai,19008,Kachia,KD,Kaduna,8.013818264000065,9.730775357000027
POINT,10.517467261000036,7.436955571000055,0111dc14-c426-4bb9-9261-ec6a21be3539,2nd Ecwa Nursery and Primary School,Primary,Standard,Private,Formal,School,,,KD0904,NMIS,Kabala,19009,Kaduna North,KD,Kaduna,7.436955571000055,10.517467261000036
POINT,10.477677490000076,7.442287490000069,013913b3-3a25-4b9b-ae10-b86295b9d733,Christ Mission Academy,Secondary,Aggregate,Private,Formal,School,,,KD0207,NMIS,Narayi,19002,Chikun,KD,Kaduna,7.442287490000069,10.477677490000076
POINT,10.051727451000033,8.552953140000056,0149ba03-1e9b-4cac-9485-36b1d64c540e,Universal Basic Education Primaru School Talon Amawa,Primary,Primary,Public,Formal,School,,,KD1703,NMIS,Garu Mariri,19017,Lere,KD,Kaduna,8.552953140000056,10.051727451000033
POINT,10.474360001000036,7.449835000000064,015bdd68-8ba7-4d4f-b01f-ffc9b37b6967,Sacret Heart Nur Primary and Secondary School,Secondary,Aggregate,Faith Based,Formal,School,,,KD0207,NMIS,Narayi,19002,Chikun,KD,Kaduna,7.449835000000064,10.474360001000036
POINT,11.066574450000076,8.03468048600007,017872ba-16a9-45e3-aa26-54fa378006a6,Universal Basic Education Gidan Kori,Primary,Primary,Public,Formal,School,,,KD2110,NMIS,Turawa,19021,Soba,KD,Kaduna,8.03468048600007,11.066574450000076
POINT,10.569947381000077,7.4449012500000435,0198569b-3b65-492e-87e9-1e28b2eed38f,Demostration Nursry and Primary School,Primary,Standard,Public,Formal,School,,,KD0909,NMIS,Unguwan Dosa,19009,Kaduna North,KD,Kaduna,7.4449012500000435,10.569947381000077
POINT,9.70559576100004,8.251770820000047,01b994d1-0913-4401-8190-a3bb6ec75198,Universal Basic Education Primary School Hurgyam,Primary,Primary,Public,Formal,School,,,KD2205,NMIS,Madakiya,19022,Zangon Kataf,KD,Kaduna,8.251770820000047,9.70559576100004
POINT,10.09589500100003,8.284690000000069,01d81816-90cf-4103-9091-c5e12ac38be0,Model Kusheka,Primary,Primary,Public,Formal,School,,,KD1402,NMIS,Bital,19014,Kauru,KD,Kaduna,8.284690000000069,10.09589500100003
